timestamp,ax,ay,az,gx,gy,gz
0.0,0.01,-0.25,-0.97,2.2,3.23,7.69
0.1,-0.0,-0.3,-0.98,2.32,-0.12,2.87
0.2,0.0,-0.28,-1.0,-0.55,-5.92,14.65
0.30000000000000004,0.48,-1.64,-2.88,-112.0,-394.78,138.31
0.4,0.92,0.11,0.57,-90.64,6.77,-20.81
0.5,1.41,-0.44,0.34,-52.86,-200.13,77.58
0.6000000000000001,0.81,-0.52,1.13,86.61,-11.9,3.91
0.7000000000000001,0.09,-0.07,1.08,142.7,179.63,87.71
0.8,0.27,0.01,0.03,-164.43,-36.74,126.71
0.9,0.88,-0.06,0.64,-34.12,-201.17,-20.63
1.0,0.54,0.5,1.28,149.48,22.77,14.47
1.1,0.73,-0.01,-0.38,-24.48,188.17,35.4
1.2000000000000002,0.72,0.2,-0.3,-143.43,-191.47,-90.27
1.3,1.0,-0.9,1.06,124.15,-10.8,-75.01
1.4000000000000001,-0.4,-0.02,-0.89,-27.28,-122.44,48.89
1.5,0.01,-0.25,-0.97,20.94,-20.26,26.0
1.6,0.04,-0.18,-0.9,12.27,14.59,36.68
1.7000000000000002,-0.0,-0.13,-1.02,20.87,-20.2,-45.23
1.8,-0.11,-0.16,-0.93,-4.7,-20.2,-6.29
