ax,ay,az,gx,gy,gz,timestamp
-0.646484,0.758179,0.087524,5.67627,-0.427246,2.258301,2025-05-16 06:05:43
-0.638428,0.784546,0.095581,2.807617,0.854492,4.638672,2025-05-16 06:05:43
-0.644287,0.753052,0.101929,2.685547,1.586914,4.638672,2025-05-16 06:05:43
-0.631836,0.755493,0.096558,7.507324,-1.89209,1.89209,2025-05-16 06:05:43
-0.629395,0.764893,0.084229,7.93457,-1.159668,2.319336,2025-05-16 06:05:43
-0.634399,0.77063,0.090454,6.04248,0.610352,3.234863,2025-05-16 06:05:43
-0.630493,0.773926,0.087769,5.79834,0.305176,2.075195,2025-05-16 06:05:43
-0.629272,0.772705,0.088989,3.540039,3.723145,3.356934,2025-05-16 06:05:43
-0.637939,0.762085,0.092529,2.868652,4.638672,3.845215,2025-05-16 06:05:43
-0.640625,0.767212,0.103638,2.685547,4.699707,3.723145,2025-05-16 06:05:43
-0.644531,0.748413,0.09314,1.77002,5.126953,3.723145,2025-05-16 06:05:43
-0.639038,0.75769,0.099731,2.563477,4.272461,3.295898,2025-05-16 06:05:43
-0.6427,0.749634,0.097778,3.78418,3.601074,3.112793,2025-05-16 06:05:43
-0.63562,0.744141,0.096069,5.554199,1.831055,2.807617,2025-05-16 06:05:43
-0.633423,0.761963,0.097168,6.04248,1.464844,3.78418,2025-05-16 06:05:44
-0.649292,0.770752,0.096558,5.92041,1.77002,4.638672,2025-05-16 06:05:44
-0.637939,0.752808,0.096313,5.432129,1.525879,4.577637,2025-05-16 06:05:44
-0.643555,0.760132,0.112061,5.79834,1.098633,4.272461,2025-05-16 06:05:44
-0.65625,0.750122,0.09668,4.821777,2.075195,4.272461,2025-05-16 06:05:44
-0.654053,0.772217,0.108032,4.943848,0,4.821777,2025-05-16 06:05:44
-0.709961,0.747437,0.09021,1.89209,-5.615234,9.277344,2025-05-16 06:05:44
-0.738525,0.721924,0.047119,-0.366211,-22.3999,20.69092,2025-05-16 06:05:44
-1.015259,0.777954,-0.1073,-23.80371,-43.15186,50.354,2025-05-16 06:05:44
-0.850708,0.816895,-0.189819,-50.72021,-76.72119,83.74023,2025-05-16 06:05:44
-0.755371,0.64978,-0.157349,-74.27979,-58.1665,105.2856,2025-05-16 06:05:44
-0.742798,0.463257,-0.103516,-54.38232,-20.75195,96.43555,2025-05-16 06:05:44
-0.852905,0.178833,-0.190308,-15.31982,11.1084,79.77295,2025-05-16 06:05:44
-0.858276,0.167725,-0.226685,24.10889,10.98633,57.55615,2025-05-16 06:05:44
-0.878906,0.13916,-0.349854,25.14648,17.82227,41.93115,2025-05-16 06:05:44
-0.925903,0.117798,-0.228638,23.4375,20.62988,25.39063,2025-05-16 06:05:45
-0.9729,0.030396,-0.342285,28.13721,2.807617,4.882813,2025-05-16 06:05:45
-0.936768,0.121094,-0.236084,16.72363,8.850098,4.272461,2025-05-16 06:05:45
-0.979614,0.082275,-0.255249,20.81299,2.441406,-1.098633,2025-05-16 06:05:45
-0.973022,0.110229,-0.34021,10.62012,1.098633,-1.403809,2025-05-16 06:05:45
-1.001221,0.078491,-0.286255,15.625,-7.873535,1.159668,2025-05-16 06:05:45
-0.951904,0.095337,-0.290894,15.50293,-4.516602,8.056641,2025-05-16 06:05:45
-1.050171,-0.011841,-0.316284,12.75635,-11.77979,23.98682,2025-05-16 06:05:45
-0.989258,0.113403,-0.297974,19.71436,-29.1748,41.38184,2025-05-16 06:05:45
-0.800659,0.108643,-0.300415,23.62061,-16.78467,35.94971,2025-05-16 06:05:45
-0.853516,0.039917,-0.404785,22.3999,5.065918,11.84082,2025-05-16 06:05:45
-0.954346,0.021729,-0.375732,8.605957,7.019043,-4.150391,2025-05-16 06:05:45
-0.887329,0.013794,-0.309937,2.746582,10.0708,2.13623,2025-05-16 06:05:46
-0.905396,0.014648,-0.279419,4.272461,6.896973,1.037598,2025-05-16 06:05:46
-0.924072,0.021973,-0.288086,2.929688,3.540039,0.061035,2025-05-16 06:05:46
-0.883545,0.048584,-0.229492,-4.577637,5.981445,-3.845215,2025-05-16 06:05:46
-1.039307,0.024536,-0.220215,3.295898,9.94873,-20.62988,2025-05-16 06:05:46
-0.953613,0.103027,-0.22937,14.4043,14.95361,-40.34424,2025-05-16 06:05:46
-0.821045,0.407471,-0.128052,8.544922,22.27783,-48.70605,2025-05-16 06:05:46
-1.003662,0.204956,-0.309326,4.699707,28.01514,-40.40527,2025-05-16 06:05:46
-1.034424,0.322144,-0.112183,2.868652,22.82715,-16.17432,2025-05-16 06:05:46
-0.93396,0.350342,-0.139648,4.333496,20.20264,1.586914,2025-05-16 06:05:46
-0.847778,0.420532,-0.168701,-5.981445,14.34326,-8.605957,2025-05-16 06:05:46
-0.838745,0.391479,-0.047729,5.554199,10.62012,-50.59814,2025-05-16 06:05:46
-0.825317,0.424438,-0.082397,6.04248,-10.86426,-86.48682,2025-05-16 06:05:46
-0.809937,0.583496,-0.090698,-2.380371,-18.18848,-84.47266,2025-05-16 06:05:46
-0.778809,0.793213,-0.073486,-6.835938,13.85498,-91.30859,2025-05-16 06:05:47
-0.712646,0.766235,-0.064453,-19.65332,46.75293,-69.51904,2025-05-16 06:05:47
-0.654785,0.630127,-0.143921,-8.117676,57.18994,-39.30664,2025-05-16 06:05:47
-0.662231,0.753906,-0.100586,27.83203,51.33057,-22.2168,2025-05-16 06:05:47
-0.726196,0.785645,-0.256348,55.41992,17.15088,0.793457,2025-05-16 06:05:47
-0.668945,0.903687,-0.147095,43.02979,-24.16992,24.4751,2025-05-16 06:05:47
-0.673706,0.846558,-0.225586,25.32959,-68.29834,26.48926,2025-05-16 06:05:47
-0.732788,0.986328,-0.237183,19.104,-137.207,4.272461,2025-05-16 06:05:47
-0.499268,1.06189,-0.248413,-2.502441,-180.2368,-43.88428,2025-05-16 06:05:47
-0.396606,0.861328,-0.439575,-7.8125,-198.1201,-106.3843,2025-05-16 06:05:47
-0.092041,1.068604,-0.341675,-2.319336,-183.3496,-158.2031,2025-05-16 06:05:47
0.063965,1.007202,-0.3302,-18.98193,-125.6104,-166.5649,2025-05-16 06:05:47
0.155762,0.724243,-0.299438,-17.57813,-95.52002,-158.3862,2025-05-16 06:05:47
0.443115,0.476929,-0.21521,-13.73291,-70.73975,-132.0801,2025-05-16 06:05:47
0.400757,0.441895,-0.2146,-8.728027,-47.72949,-101.2573,2025-05-16 06:05:47
0.43042,0.333862,-0.2854,-7.019043,-46.69189,-91.6748,2025-05-16 06:05:48
1.148926,0.904419,-0.649048,-22.88818,-27.34375,-97.10693,2025-05-16 06:05:48
3.019409,0.429321,-1.006714,-65.18555,22.2168,-109.5581,2025-05-16 06:05:48
2.931519,-0.361572,-1.110596,2.624512,21.72852,-118.6523,2025-05-16 06:05:48
0.583618,0.259033,0.469604,-29.05273,86.79199,-53.03955,2025-05-16 06:05:48
0.29126,-0.874512,0.742065,-71.96045,226.7456,53.6499,2025-05-16 06:05:48
-0.100464,-0.849609,0.199585,18.73779,174.3774,75.43945,2025-05-16 06:05:48
-1.967529,0.976929,-1.373291,-15.68604,27.46582,95.8252,2025-05-16 06:05:48
2.461792,1.464233,0.862305,-28.56445,-28.44238,12.08496,2025-05-16 06:05:48
0.818359,-0.928345,-0.729492,10.68115,-31.67725,-41.93115,2025-05-16 06:05:48
0.821533,-0.451294,-0.849365,-15.19775,-41.74805,-15.86914,2025-05-16 06:05:48
0.891968,0.013794,-0.677979,-21.11816,-60.48584,2.13623,2025-05-16 06:05:48
0.789673,-0.409546,-0.64624,-49.31641,-36.43799,31.73828,2025-05-16 06:05:48
0.84021,-0.445923,-0.683472,-30.94482,-48.40088,43.76221,2025-05-16 06:05:48
0.758179,-0.269653,-0.609253,-19.65332,-49.56055,50.04883,2025-05-16 06:05:49
0.880737,-0.278931,-0.531738,-11.65771,-40.22217,36.92627,2025-05-16 06:05:49
